,Unnamed: 0,Unnamed: 0.1,index,tweet,class,norm
673,673,673,2252,"We're being punked, right? They've actually never been in a kitchen before except to microwave their Veet. #MKR #KillerBlondes",sexism,1
675,675,675,4784,RT @Hector_newcomb: I am not sexist but changing making the next Thor female isn't something I'm okay with due to Thor almost always being …,sexism,1
676,676,676,3421,RT @NiceAntiFem: #WomenAgainstFeminism Because they'd rather be sorry than safe. #feminism  #YesAllWomen http://t.co/QEi25Bx6lz,sexism,1
678,678,678,4063,"RT @ColbyHarris902: I honestly can't believe they added female Soldiers to Call Of Duty Ghosts, I'm not sexist but it's kinda weird and a l…",sexism,1
683,683,683,635,@UmarMal You Muslims should kiss our ass for buying your oil.  If we didn't you'd be riding camels and the population of the ME would be 1/3,racism,0
693,693,693,2657,"Annie, the reason why Lloyd hasn't proposed yet is because he is gay. Really gay. #mkr",sexism,1
694,694,694,4529,RT @SnackPrine Im not sexist but some females need to stay off the fucking roads,sexism,1
698,698,698,2883,@yunglibertarian I keep trying to explain...GOP needs CO to get to 270.  Nominate a Drug War-rior like Romney and you lose CO...and the WH.,sexism,1
704,704,704,1988,@mykitchenrules Elegant and beautiful?Cheap and trashy!Nothing more unattractive than girls banging on about how hot hey are. #mkr #notsassy,sexism,1
707,707,707,1955,RT @george3612: @ProudPatriot101 Nick Griffin Exposed the Rape Jihad Way Back in 2004 and the BBC Conspired to Imprison Him.https://t.co/Ke…,racism,0
708,708,708,4644,"RT @OfficialAleckzM: @PerezHilton for starters, girls dont even DJ. Not sexist but seriously the famous ones are fake. Like krewella. The g…",sexism,1
710,710,710,822,"@Vandaliser @sajid_fairooz @IsraeliRegime A word of advice, until you can show that wikiislam is false, don't bother me with your advice.",racism,0
